date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:07	6588/6588	---M--	200	added ('OK')	text/html	date:Wed,%2026%20Apr%202017%2006:41:51%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/index.html	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/index.html	(from )
16:51:07	48/48	---M--	200	added ('OK')	text/plain	date:Wed,%2012%20Oct%202016%2004:29:36%20GMT	http://craftedpixels.net/robots.txt		(from )
16:51:07	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Sun,%2030%20Oct%202016%2012:00:21%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/favicon.ico	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/favicon.ico	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:10	101077/101077	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202016%2012:00:26%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/css/bootstrap.min.css	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:10	30385/30385	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202016%2012:00:27%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/css/style.css	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/css/style.css	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:11	27249/27249	---M--	200	added ('OK')	text/css	date:Sun,%2030%20Oct%202016%2012:00:27%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/css/font-awesome.css	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/css/font-awesome.css	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:12	4040/4040	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:43%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/respond.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/respond.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:12	15117/15117	---M--	200	added ('OK')	application/javascript	date:Sun,%2030%20Oct%202016%2012:00:43%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/js/modernizr.js	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/js/modernizr.js	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:12	8682/8682	---M--	200	added ('OK')	image/png	date:Sun,%2030%20Oct%202016%2012:00:38%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/images/logo.png	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/images/logo.png	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:13	5589/5589	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202016%2012:00:19%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/about.html	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/about.html	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:13	6496/6496	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202016%2012:00:21%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/gallery.html	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/gallery.html	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:13	6826/6826	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202016%2012:00:20%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/blog.html	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/blog.html	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
16:51:14	6028/6028	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202016%2012:00:20%20GMT	http://craftedpixels.net/demo-html/kindergarten-template/contact.html	C:/My%20Web%20Sites/somani_bacha/craftedpixels.net/demo-html/kindergarten-template/contact.html	(from http://craftedpixels.net/demo-html/kindergarten-template/index.html)
